LINKEDIN PROFILE NAME,LINKEDIN URL,POSTS LINK,CONTENT,CATEGORY
Sunil Sharma,https://www.linkedin.com/in/sunilsharmats/,https://www.linkedin.com/posts/sunilsharmats_the-numbers-behind-collision-from-home-activity-6681242696343973888-95U-,"The numbers behind Collision Conf are now out. Its really remarkable to see what their team did in just 3 months. I remember getting a call from Paddy Cosgrave telling me that the decision to go fully virtual had to be made. I thought about trying to talk him out of it (for Toronto) but common sense set in. For me a telling sign is how much FOMO do I feel when at a huge tech gathering (how many startups can I meet and which ones am I ignoring, which talks am I watching and how many am I missing??). This thing is online but there feelings of FOMO attacking at me. #CollisionfromHome #Techstars #FounderInstitute #Toronto",Blog Post
Sunil Sharma,https://www.linkedin.com/in/sunilsharmats/,https://www.linkedin.com/posts/sunilsharmats_collisionfromhome-activity-6681179296897273856-A96O,"In just an hour from now I will be kicking off ‘Collision from Home’ from my home. Its been many months of planning and execution by the world-class Web Summit team mostly in Dublin, Ireland and an incredible group here in Toronto. There are more than 30,000 registered delegates and the speaker list is phenomenal. But for those who know me know that its networking and connections that matter most, and the Collision mobile app and web app are lighting up now with new contacts and familiar ones. Practicing my lines a bit now... Paddy Cosgrave Casey Lau Yvonne Redmond Keith Wallace #collisionfromhome",Blog Post
Sunil Sharma,https://www.linkedin.com/in/sunilsharmats/,https://www.linkedin.com/posts/sunilsharmats_welcome-to-the-techstars-network-activity-6675943913242574849-EDlQ,"Today was a great day. We officially kicked off our 3rd Techstars Toronto accelerator. We patiently await for this pandemic to end so that some of our new founders can make their anticipated moves to Canada (permanent moves) and for others to make their way to our downtown offices. But in spite of these temporary challenges, entrepreneurs never cease to build and advance. We have 10 incredible teams to show you. They are talented, tenacious, disruptive and diverse. Thats all we ask them to be. Tariq Haddadin Judy To Stephania Stefanakou Maryam Nabavi Jeremy Bell Milad Zabihi Buchi Okoro Sławek Potasz Anya Switzer Jack Liu Tingcheng Cui Joe Parenteau Tina Luu Max Tims Uzo Awili Carla Margalef Bentabol James Russell Gurjot Narwal Reetmohinder Singh Adam Roach Mucahit Gayiran Hooman Askari Morris Ebieroma Brian Faber Vickie Fu Janet Bannister Madison Wright Hamzah Nassif Sina Roshan",Native Video
Sunil Sharma,https://www.linkedin.com/in/sunilsharmats/,https://www.linkedin.com/posts/sunilsharmats_cinchy-raises-10m-to-support-growing-demand-activity-6671036421798707200-V-T4,"In 2018 just after launching Techstars in Toronto we had the opportunity to meet two somewhat introverted and quiet technical founders during some office hours. We met more than 500 entrepreneurs during that period, but something stood out about Dan DeMers and Karanjot Jaswal. They had a huge vision, highly developed software and a relentless work ethic. We knew that this was what Techstars was all about, and we shortlisted them and quickly made our investment. During the months of Techstars, the Cinchy team spent countless days and nights in a small windowless boardroom which they selected as their work area (introverts, right?). By the end of the program (and with help from the Tariq Haddadin pitch coaching regimen) Dan delivered an incredible Demo Day pitch and the ball was really rolling.

We are proud to be making our 3rd investment into Cinchy right now alongside some amazing new investors. As both Dan and Karanjot say in their blog this morning, this is just the beginning.

Not bad during a pandemic. cc. Janet Bannister John Stokes Nicole Glaros Keith Camhi Scott Ford Leon Kharkhourin David Newall Frank Pizzolato Rob Scully Kevin Kimsa David Unsworth Alan Trieu Richard Berman Craig Leonard Wayne Bigby Steven Abrams Michael Denham Jérôme Nycz Claudia Reuter",Third Party Content
Sunil Sharma,https://www.linkedin.com/in/sunilsharmats/,https://www.linkedin.com/posts/sunilsharmats_apply-to-the-founder-institute-startup-accelerator-activity-6670423228336402432-UyDH,Tonight is the deadline for the Toronto Founder Institute pre-accelerator (some flexibility - it starts in just over a week and mentors are being scheduled). Get your applications now to get help from Toronto’s top entrepreneurs to build your company! Lidia Bit-Yunan Ben Stacey Ryan Micheletti Tariq Haddadin https://lnkd.in/eBMHk8K #FIworldwide #tech #startup #entrepreneur,Photos
Sunil Sharma,https://www.linkedin.com/in/sunilsharmats/,https://www.linkedin.com/posts/sunilsharmats_techstars-on-instagram-a-view-from-toronto-activity-6669352979545628672-FVNP,I feel like I know what I am doing on Linkedin but today was my first Instagram post (not counting the one-time Ice Bucket Challenge video) and it was an IG Live. Thanks to Techstars for giving the keys to the Instagram account to me and Casey Lau. We got to talk all-things Canada including an East vs West tech rivalry and the Countdown to Collision Conf. #techstars #collisionfromhome #Toronto #Vancouver,Native Video
Sunil Sharma,https://www.linkedin.com/in/sunilsharmats/,https://www.linkedin.com/posts/sunilsharmats_founder-institute-toronto-and-silicon-valley-activity-6664584870079062016-_Mch,"We are launching a very exciting new Founder Institute pre-accelerator. We are recruiting early-stage entrepreneurs (ideal for first-time founders). This program is unique because it marks the first ever jointly run accelerator between 2 of the world's leading tech ecosystems - Toronto/Waterloo and Silicon Valley. This could be history in the making. Imagine the connections that could come from this between the mentors, partners (we need some), investors and of course founders. These 40-50 new startup companies will launch in unison. This could be the new model of ecosystem building. The ask - please refer any promising entrepreneurs. If you want to be a partner, please get in touch. cc. Chris Heivly Ryan Micheletti Ben Stacey Jon Prentice Tony Sabeta, B.Eng. (Elec.) John Albright Brice Scheschuk, CPA, CA Mark A. Smith Casey Lau Andrea Baptiste Nicole LeBlanc Drew Lindsay John Tory Chris Rickett Devin Ramphal (Mister Innovation) Patrick Brown Mary Ng Serena Nguyen Adam Nanjee Win Bear Adrian Joaquin Alex Norman Jason Goldlist Courtney Glen Laura Buhler Janet Bannister Yung Wu Karen Mazurkewich Sarah H. Abdullah Snobar Sen Sachi David Kwok Jon French Joe Canavan Michelle Scarborough Jérôme Nycz Erika Kurczyn Chris Carder Derek Newton Hassan Jaferi",Blog Post
Sunil Sharma,https://www.linkedin.com/in/sunilsharmats/,https://www.linkedin.com/posts/sunilsharmats_join-ryan-micheletti-and-sunil-sharma-from-activity-6663533440102645760-fsGv,Entrepreneurs across Canada and the US who want to learn more about venture debt and how to position themselves for funding from Seattle-based Lighter Capital (who have recently expanded into Canada) please join us for this webinar tomorrow (noon EST). cc. Silicon Valley Bank Techstars Founder Institute Collision Conf,Third Party Content
Sunil Sharma,https://www.linkedin.com/in/sunilsharmats/,https://www.linkedin.com/posts/sunilsharmats_countdown-to-collision-from-home-ep1-with-activity-6659207659146874882-TPHz,"Fellow Canadian @casey_lau and I are excited for #Collisionfromhome so watch our new weekly show called ""Countdown To Collision From Home""

With special guests @Edithyeung of @ProofofCapital
@Ashkan of @Watchmojo + @Eddytravels does the Elevator Pitch.
📺 https://lnkd.in/gYP9qk8",Native Video
Sunil Sharma,https://www.linkedin.com/in/sunilsharmats/,https://www.linkedin.com/posts/sunilsharmats_the-world-needs-entrepreneurs-techstars-activity-6656248178309939200-v2yw,Entrepreneurs. Now more than ever. Right?,Native Video
April Dunford,https://www.linkedin.com/in/aprildunford/,https://www.linkedin.com/posts/aprildunford_leading-the-product-digital-activity-6681351268746756096-vvUT,"I always wanted to speak at Leading the Product but I never managed to make the trip to Australia. This year, I'm happy to be keynoting from the comfort of my home office (hey maybe I'll get to Australia next year). You can join this year too - early bird tickets are on sale now.#prodmgmt",Blog Post
April Dunford,https://www.linkedin.com/in/aprildunford/,https://www.linkedin.com/posts/aprildunford_howtoweb-workshop-product-activity-6678977334202171392-pFbt,I'm teaching a positioning class new week.with the folks from How to Web - check it out below-,Blog Post
April Dunford,https://www.linkedin.com/in/aprildunford/,https://www.linkedin.com/posts/aprildunford_books-positioning-activity-6671396388267466752-cqUr,"Little Announcement - My book is ON SALE starting now for a sweet $0.99.
Give one to a friend!
Gift your co-workers!
Suck up to your boss!
Sale's over in 48 hours so get it while it's hot.
Amazon link here - https://lnkd.in/eAfXGDq
And you can also buy it wherever ebooks are sold!

#books #positioning

",Blog Post
April Dunford,https://www.linkedin.com/in/aprildunford/,https://www.linkedin.com/posts/aprildunford_storytelling-vs-positioning-activity-6660994943470878720-ddKF,"I've been thinking about the relationship between Storytelling and Positioning. It's easy to confuse the two, but they are not the same thing.
I've seen startups attempt to use a storytelling exercise to help them get clarity on their positioning. But starting with storytelling without working on positioning first is dangerous. My thoughts here:
#positioning #startups",Blog Post
April Dunford,https://www.linkedin.com/in/aprildunford/,https://www.linkedin.com/posts/aprildunford_productmanagment-productstrategy-activity-6660261267829243905-QvQn,I'm doing a webinar with Gainsight next week talking about positioning in a downturn - check it out!,Third Party Content
April Dunford,https://www.linkedin.com/in/aprildunford/,https://www.linkedin.com/posts/aprildunford_product-positioning-masterclass-industry-activity-6658530456880889856-78wj,"I've teamed up with the folks from Product Collective (organizers of Industry Conference) to do a half-day Positioning Deep Dive.
Want to master the art of Strategic Positioning? Have you read my book and want to go deeper? This one's for you:",Third Party Content
April Dunford,https://www.linkedin.com/in/aprildunford/,https://www.linkedin.com/posts/aprildunford_b2b-saas-technology-marketing-podcast-activity-6658155304854843392-fOM7,Here's me on the Marketing in B2B Technology podcast talking about Positioning in a downturn (starting at about the 10min mark - after I talk about how Canadian Engineers do a cult-like ring ceremony and now the ring guys will have to kill me) and why now might be a good time to start a customer advisory board. Have a listen here: https://lnkd.in/e6DjgSz,Text Only
April Dunford,https://www.linkedin.com/in/aprildunford/,https://www.linkedin.com/posts/aprildunford_positioning-startup-activity-6643552551495094273-2A9n,"Whoop Dee Doo - the Obviously Awesome audiobook is finally here!!
When I launched my book last year, I didn't do an audiobook because I wanted to see if there was any demand for one first. Hoo boy, there was demand! For 9 months my inbox has been overflowing with ""April what the heck is WRONG with you!?"" messages. It took me a while to get time in the studio but finally, it's here.
I narrated this myself (which let me tell you, is harder than you think) so I hope you all enjoy hours and hours of my prime Canadian accent.
I'm so happy to finally have this one out in the world!!
(this is the link for Audible but you can find it wherever you like to buy Audiobooks) #positioning #startup https://lnkd.in/eperDQ7",Blog Post
April Dunford,https://www.linkedin.com/in/aprildunford/,https://www.linkedin.com/posts/aprildunford_weak-product-positioning-leaves-breadcrumbs-activity-6643538651554869249-C8Lw,I had a fun chat with John Bonini on his podcast this week about my book and all things positioning - check it out,Native Video
April Dunford,https://www.linkedin.com/in/aprildunford/,https://www.linkedin.com/posts/aprildunford_10-best-new-product-strategy-books-to-read-activity-6622614514829455360-fR3h,One of the Best New Product Strategy Books! Woo Hoo! Thanks BookAuthority,Photos
April Dunford,https://www.linkedin.com/in/aprildunford/,https://www.linkedin.com/posts/aprildunford_productmanagement-activity-6608804556715421696-VOud,Super excited to be coming to Dublin for INDUSTRY next year! #prodmgmt,Third Party Content
April Dunford,https://www.linkedin.com/in/aprildunford/,https://www.linkedin.com/posts/aprildunford_s06-e08-story-lines-positioning-and-how-activity-6572085695471501312-M9QB,I'm talking about the art and the science of positioning on the Live in the Feast podcast this week - have a listen. #positioning #podcast,Blog Post
April Dunford,https://www.linkedin.com/in/aprildunford/,https://www.linkedin.com/posts/aprildunford_obviously-awesome-activity-6569236297058181120-QHLL,"I woke up this morning to discover that my book had been hunted on ProductHunt (and no, not by me!). Have you ever done a surprise product launch? Me either!
I would really appreciate it if you gave me an upvote or a comment if you have a ProductHunt account!!! #producthunt #eeek",Text Only
April Dunford,https://www.linkedin.com/in/aprildunford/,https://www.linkedin.com/posts/aprildunford_product-marketing-alliance-toronto-kickoff-activity-6559829257114173440-RPXU,"Attention Toronto Product Marketing folks! The Product Marketing Alliance is launching next Thursday with a meetup at the @Crowdlinker offices. Join us for pizza, drinks and networking.
",Text Only
April Dunford,https://www.linkedin.com/in/aprildunford/,https://www.linkedin.com/posts/aprildunford_get-in-formation-20-women-leading-the-charge-activity-6558751859325104128-bGBH,Great list of SaaS marketers (plus me!).,Third Party Content
April Dunford,https://www.linkedin.com/in/aprildunford/,https://www.linkedin.com/posts/aprildunford_what-marketers-should-know-about-positioning-activity-6557368802613489664-GCfd,"Here's me on the Caninnovate podcast talking about best-fit customers and positioning that works. #positioning #podcast
",Third Party Content
April Dunford,https://www.linkedin.com/in/aprildunford/,https://www.linkedin.com/posts/aprildunford_churn-positioning-growth-activity-6549706790643261440-7Muu,"Here's me talking about the relationship between Positioning and Churn: #positioning #podcast
",Native Video
April Dunford,https://www.linkedin.com/in/aprildunford/,https://www.linkedin.com/posts/aprildunford_is-there-a-cure-for-cambridge-disease-activity-6549642930750058497--Z8G,"Cambridge! I'm coming next week to talk all things startup marketing and positioning.

I'm doing a deep dive into:
a) A set of startup repositioning case studies where a shift in target market unlocked giant growth
b) How positioning for customers is very different from positioning for VCs and what to do to avoid the traps
c) A structured methodology for finding your best positioning and how to get it done.",Text Only
April Dunford,https://www.linkedin.com/in/aprildunford/,https://www.linkedin.com/posts/aprildunford_the-curse-of-the-tech-founder-business-activity-6549630528667074561-S-fn,"Attention London startup founders! I'm coming for an event next week and we are talking all things startup positioning.

Specifically we are going to do a deep dive into:
a) how to use your market category to stand out in a crowded market
b) how smart positioning can make a confusing, highly technical product easy to understand
c)how a shift in positioning can transform the way you market and sell.",Photos
April Dunford,https://www.linkedin.com/in/aprildunford/,https://www.linkedin.com/posts/aprildunford_product-love-podcast-april-dunford-speaker-activity-6547520820124622849--F_W,"Here's me on the Product Craft podcast talking about my career journey (starting with my excellent SQL presentation skills), competing with tools like Excel and how positioning changes over time. Check it out: https://lnkd.in/dwdh-7J #podcast #positioning",Blog Post
Steve Blank,https://www.linkedin.com/in/steveblank/,https://www.linkedin.com/posts/steveblank_innovation-startups-entrepreneurship-activity-6701855778145468416-SctJ,"A founder’s skill is knowing how to recognize new patterns and to pivot on a dime. At times the pattern is noise, and the vision turns out to be a hallucination. Knowing how to sort between vision and hallucination can avoid chaos inside your startup.#innovation #startups #entrepreneurship #entrepreneurs #venturecapital #startupsuccess #startup",Text Only
Steve Blank,https://www.linkedin.com/in/steveblank/,https://www.linkedin.com/posts/steveblank_hacking4recovery-teaching-teachingandlearning-activity-6701130647013998592-3LnK,"“Let’s do something to help with the pandemic.” In April, with the economy crashing, and the East Coast in lockdown, I heard this from Stanford instructors Tom Bedecarre and Todd Basche, both on the same day. And my response to them was the same, “I can’t sew masks and I don’t know how to make ventilators.” But after thinking about it, it dawned on to me that we could contribute – by creating a class to help existing businesses recover and new ones to start.

And so, Hacking for Recovery began, starting first at Stanford and next offered by University of Hawaii for the State of Hawaii. Here's a look at the progress 70 teams made in the classes. #Hacking4Recovery #teaching #teachingandlearning #entrepreneurshipeducation #entrepreneurship #innovation #leanstartup #LeanLaunchPad #startupsuccess #startups
",Text Only
Steve Blank,https://www.linkedin.com/in/steveblank/,https://www.linkedin.com/posts/steveblank_death-by-revenue-plan-activity-6699069096346177536-jVDq,https://lnkd.in/gckTf6G #startups,Blog Post
Steve Blank,https://www.linkedin.com/in/steveblank/,https://www.linkedin.com/posts/steveblank_teachingandlearning-teaching-teachingonline-activity-6698960203246772225-stgH,"400 Lean Educators instructors gathered online to share what we’ve learned about teaching classes remotely during the pandemic. We got insights from each other about tools, tips, techniques and best practices. Here's what we learned. #teachingandlearning #teaching #teachingonline #entrepreneurship #entrepreneurshipeducation",Text Only
Steve Blank,https://www.linkedin.com/in/steveblank/,https://www.linkedin.com/posts/steveblank_startups-entrepreneurship-burnout-activity-6697163078599086080-ocO0,Burnout can turn productive employees into emotional zombies and destroy careers. But it can also force you to hit the pause button and perhaps take a moment to reevaluate your life and your choices. #startups #entrepreneurship #burnout #burnoutprevention #burnoutrecovery,Photos
Steve Blank,https://www.linkedin.com/in/steveblank/,https://www.linkedin.com/posts/steveblank_startups-entrepreneurship-innovation-activity-6696394017908908032-ZUtG,"The Appendix of your business plan has one of the leading cause of death of startups: the financial spreadsheets you attached as your Income Statement, Balance Sheets and Cash Flow Statements.
#startups #entrepreneurship #innovation #startupsuccess",Photos
Steve Blank,https://www.linkedin.com/in/steveblank/,https://www.linkedin.com/posts/steveblank_the-vc-pitch-confusing-the-destination-activity-6694669912629231617-DjNa,https://steveblank.com/2010/11/30/the-vc-pitch-%E2%80%93-confusing-the-destination-with-the-journey/,Blog Post
Steve Blank,https://www.linkedin.com/in/steveblank/,https://www.linkedin.com/posts/steveblank_relentless-the-difference-between-motion-activity-6693945850034569216-xUkM,https://steveblank.com/2009/11/09/relentless-%E2%80%93-the-difference-between-motion-and-action/,Blog Post
Steve Blank,https://www.linkedin.com/in/steveblank/,https://www.linkedin.com/posts/steveblank_startups-venturecapital-activity-6692081624797982722-MsyC,"Entrepreneurs hear that VC pitches ought to be short, 10-20 slides. What most don’t know is that there is no way they can deliver a presentation that short by just “writing” the slide deck. #startups #venturecapital",Photos
Steve Blank,https://www.linkedin.com/in/steveblank/,https://www.linkedin.com/posts/steveblank_startups-innovation-entrepreneurship-activity-6691364187861590016-2Qxr,"One of an entrepreneur’s greatest strengths is their relentless pursuit of a goal. But few realize how this differs from most of the population. Watching others try to solve problems reminded me why entrepreneurs are different.
#startups #innovation #entrepreneurship #entrepreneurmotivation #entrepreneurgoals #startupsuccess
",Text Only
Steve Blank,https://www.linkedin.com/in/steveblank/,https://www.linkedin.com/posts/steveblank_activity-6686995375800369152-uLqA,https://www.linkedin.com/pulse/educators-summit-lessons-from-teaching-pandemic-steve-blank?lipi=urn%3Ali%3Apage%3Ad_flagship3_detail_base%3BB6vMCGVHSie1524yLb4U6w%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_detail_base-article_description,Blog Post
Steve Blank,https://www.linkedin.com/in/steveblank/,https://www.linkedin.com/posts/steveblank_startup-founders-you-cant-get-back-family-activity-6680509894363369472-sCEN,Lessons for Father’s Day – you can’t get back time,Photos
Steve Blank,https://www.linkedin.com/in/steveblank/,https://www.linkedin.com/posts/steveblank_entrepreneurship-is-hard-but-you-cant-die-activity-6670738355988377601-VnFt,A Memorial Day Story This wasn’t just a big party. We were engaged in killing other people and they were equally intent on killing us.,Blog Post
Steve Blank,https://www.linkedin.com/in/steveblank/,https://www.linkedin.com/posts/steveblank_pandemic-businessmodels-activity-6670051808335015936-bIPD,Actual picture of companies who haven't pivoted their business model due to the pandemic http://h4r.stanford.edu #pandemic #businessmodels,Photos
Steve Blank,https://www.linkedin.com/in/steveblank/,https://www.linkedin.com/feed/update/urn:li:activity:6651111579985203200,https://www.linkedin.com/pulse/how-keep-your-company-alive-observe-orient-decide-act-steve-blank?lipi=urn%3Ali%3Apage%3Ad_flagship3_detail_base%3BmNT3dnNtTluPI45ouA6aNg%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_detail_base-article_description,Blog Post
Steve Blank,https://www.linkedin.com/in/steveblank/,https://www.linkedin.com/feed/update/urn:li:activity:6645714687390474241,#startups #entrepreneurship #venturecapital,Photos
Steve Blank,https://www.linkedin.com/in/steveblank/,https://www.linkedin.com/feed/update/urn:li:activity:6638445427379224576,NIL,Blog Post
Steve Blank,https://www.linkedin.com/in/steveblank/,https://www.linkedin.com/feed/update/urn:li:activity:6607635156461244416,https://www.linkedin.com/pulse/getting-schooled-lessons-from-adjunct-steve-blank?lipi=urn%3Ali%3Apage%3Ad_flagship3_detail_base%3BNilkOksdTXycEMxsg8d4Dw%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_detail_base-article_description,Blog Post
Steve Blank,https://www.linkedin.com/in/steveblank/,https://www.linkedin.com/feed/update/urn:li:activity:6602564323623649280,NIL,Blog Post
